City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,damghan,36.1683,54.348,23.95,52,14,8.28,IR,1693062766
86,bandon,51.7469,-8.7425,18.77,71,37,8.44,IE,1693062766
87,cacequi,-29.8836,-54.825,14.31,40,27,4.47,BR,1693062767
88,ust-nera,64.5667,143.2,7.25,75,32,0.56,RU,1693062768
89,barabinsk,55.3571,78.357,14.03,59,97,4.12,RU,1693062769
90,constantia,44.1833,28.65,28.38,63,0,5.74,RO,1693062770
91,kidal,18.4411,1.4078,38.93,24,57,5.51,ML,1693062771
92,benjamin constant,-4.3831,-70.0311,33.07,66,0,2.57,BR,1693062771
93,zhangzhou,24.5133,117.6556,26.26,93,100,0.28,CN,1693062772
94,tiksi,71.6872,128.8694,9.19,100,100,1.09,RU,1693062773
95,aasiaat,68.7098,-52.8699,3.94,93,100,5.21,GL,1693062774
96,luganville,-15.5333,167.1667,22.16,75,88,5.86,VU,1693062774
97,cottonwood,34.7392,-112.0099,29.82,49,0,0.45,US,1693062775
98,ribeira grande,38.5167,-28.7,27.22,61,40,8.75,PT,1693062776
99,lycksele,64.5954,18.6735,18.93,52,20,3.09,SE,1693062776
100,island harbour,50.724,-1.2758,20.01,72,90,1.34,GB,1693062777
101,umag,45.4314,13.5239,32.96,31,0,4.63,HR,1693062778
102,labrador city,52.9463,-66.9114,9.95,93,100,3.6,CA,1693062779
103,edinburgh of the seven seas,-37.0676,-12.3116,15.16,85,99,14.77,SH,1693062780
104,punta arenas,-53.15,-70.9167,5.35,68,100,6.18,CL,1693062752
105,enewetak,11.3474,162.3373,27.13,80,100,5.36,MH,1693062781
106,mizdah,31.4451,12.9801,35.54,16,0,3.57,LY,1693062782
107,isabela,6.7085,121.9711,26.3,84,71,1.68,PH,1693062524
108,bandarbeyla,9.4942,50.8122,25.38,85,7,14.24,SO,1693062784
109,onega,63.9061,38.1404,11.93,70,100,2.79,RU,1693062785
110,santa barbara,34.7333,-120.0343,18.24,100,100,0.0,US,1693062735
111,port alfred,-33.5906,26.891,13.99,69,93,3.58,ZA,1693062786
112,qaqortoq,60.7167,-46.0333,6.84,97,100,1.89,GL,1693062787
113,kachia,9.8667,7.95,27.09,76,77,2.14,NG,1693062788
114,hamilton,39.1834,-84.5333,27.22,86,100,3.09,US,1693062789
115,macherla,16.4833,79.4333,29.56,63,100,1.68,IN,1693062790
